sn,symbol,ltp,point change,change,open,high,low,volume,close
295,ULBSL,"1,140.00",-57.00,-4.76,"1,173.10","1,175.00","1,140.00","1,541.00","1,197.00"
296,ULHC,261.00,5.00,1.95,256.00,271.00,256.00,"48,664.00",256.00
297,UMHL,222.00,-2.00,-0.89,228.40,232.00,220.50,"96,791.00",224.00
298,UMRH,368.30,-11.70,-3.08,386.00,401.90,367.50,"205,150.00",380.00
299,UNHPL,204.20,-10.80,-5.02,212.00,220.00,204.00,"62,532.00",215.00
300,UNL,"43,100.00",-933.00,-2.12,"43,152.40","43,152.40","42,289.40",40.00,"44,033.00"
301,UNLB,"1,116.60",-23.30,-2.04,"1,139.00","1,179.90","1,116.60","3,792.00","1,139.90"
302,UPCL,235.50,-4.80,-2.00,242.00,249.90,233.00,"408,132.00",240.30
303,UPPER,214.00,-3.90,-1.79,218.50,218.50,211.00,"64,646.00",217.90
304,USHEC,316.30,28.70,9.98,293.30,316.30,293.30,"88,948.00",287.60
305,USHL,390.00,4.00,1.04,383.10,416.10,378.30,"21,749.00",386.00
306,USLB,805.00,13.00,1.64,807.80,807.80,756.00,"3,510.00",792.00
307,VLBS,640.50,-2.50,-0.39,655.00,660.00,618.00,"9,065.00",643.00
308,VLUCL,441.90,40.10,9.98,409.80,441.90,409.80,"9,105.00",401.80
309,WNLB,815.00,45.00,5.84,785.40,847.00,785.10,"2,175.00",770.00
